"","ant.Oct.Eri.P","ant.Nov.Eri.P","ant.Dec.Eri.P","for.Jan.Eri.P","for.Feb.Eri.P","for.Mar.Eri.P","for.Apr.Eri.P","for.May.Eri.P","for.Jun.Eri.P","for.Jul.Eri.P","for.Aug.Eri.P","for.Sep.Eri.P","for.Oct.Eri.P","for.Nov.Eri.P","for.Dec.Eri.P","ant.Oct.Eri.E","ant.Nov.Eri.E","ant.Dec.Eri.E","for.Jan.Eri.E","for.Feb.Eri.E","for.Mar.Eri.E","for.Apr.Eri.E","for.May.Eri.E","for.Jun.Eri.E","for.Jul.Eri.E","for.Aug.Eri.E","for.Sep.Eri.E","for.Oct.Eri.E","for.Nov.Eri.E","for.Dec.Eri.E","ant.Oct.Eri.R","ant.Nov.Eri.R","ant.Dec.Eri.R","for.Jan.Eri.R","for.Feb.Eri.R","for.Mar.Eri.R","for.Apr.Eri.R","for.May.Eri.R","for.Jun.Eri.R","for.Jul.Eri.R","for.Aug.Eri.R","for.Sep.Eri.R","for.Oct.Eri.R","for.Nov.Eri.R","for.Dec.Eri.R","ant.Oct.Ont.P","ant.Nov.Ont.P","ant.Dec.Ont.P","for.Jan.Ont.P","for.Feb.Ont.P","for.Mar.Ont.P","for.Apr.Ont.P","for.May.Ont.P","for.Jun.Ont.P","for.Jul.Ont.P","for.Aug.Ont.P","for.Sep.Ont.P","for.Oct.Ont.P","for.Nov.Ont.P","for.Dec.Ont.P","ant.Oct.Ont.E","ant.Nov.Ont.E","ant.Dec.Ont.E","for.Jan.Ont.E","for.Feb.Ont.E","for.Mar.Ont.E","for.Apr.Ont.E","for.May.Ont.E","for.Jun.Ont.E","for.Jul.Ont.E","for.Aug.Ont.E","for.Sep.Ont.E","for.Oct.Ont.E","for.Nov.Ont.E","for.Dec.Ont.E","ant.Oct.Ont.R","ant.Nov.Ont.R","ant.Dec.Ont.R","for.Jan.Ont.R","for.Feb.Ont.R","for.Mar.Ont.R","for.Apr.Ont.R","for.May.Ont.R","for.Jun.Ont.R","for.Jul.Ont.R","for.Aug.Ont.R","for.Sep.Ont.R","for.Oct.Ont.R","for.Nov.Ont.R","for.Dec.Ont.R","ant.Oct.MiH.P","ant.Nov.MiH.P","ant.Dec.MiH.P","for.Jan.MiH.P","for.Feb.MiH.P","for.Mar.MiH.P","for.Apr.MiH.P","for.May.MiH.P","for.Jun.MiH.P","for.Jul.MiH.P","for.Aug.MiH.P","for.Sep.MiH.P","for.Oct.MiH.P","for.Nov.MiH.P","for.Dec.MiH.P","ant.Oct.MiH.E","ant.Nov.MiH.E","ant.Dec.MiH.E","for.Jan.MiH.E","for.Feb.MiH.E","for.Mar.MiH.E","for.Apr.MiH.E","for.May.MiH.E","for.Jun.MiH.E","for.Jul.MiH.E","for.Aug.MiH.E","for.Sep.MiH.E","for.Oct.MiH.E","for.Nov.MiH.E","for.Dec.MiH.E","ant.Oct.MiH.R","ant.Nov.MiH.R","ant.Dec.MiH.R","for.Jan.MiH.R","for.Feb.MiH.R","for.Mar.MiH.R","for.Apr.MiH.R","for.May.MiH.R","for.Jun.MiH.R","for.Jul.MiH.R","for.Aug.MiH.R","for.Sep.MiH.R","for.Oct.MiH.R","for.Nov.MiH.R","for.Dec.MiH.R","ant.Oct.Sup.P","ant.Nov.Sup.P","ant.Dec.Sup.P","for.Jan.Sup.P","for.Feb.Sup.P","for.Mar.Sup.P","for.Apr.Sup.P","for.May.Sup.P","for.Jun.Sup.P","for.Jul.Sup.P","for.Aug.Sup.P","for.Sep.Sup.P","for.Oct.Sup.P","for.Nov.Sup.P","for.Dec.Sup.P","ant.Oct.Sup.E","ant.Nov.Sup.E","ant.Dec.Sup.E","for.Jan.Sup.E","for.Feb.Sup.E","for.Mar.Sup.E","for.Apr.Sup.E","for.May.Sup.E","for.Jun.Sup.E","for.Jul.Sup.E","for.Aug.Sup.E","for.Sep.Sup.E","for.Oct.Sup.E","for.Nov.Sup.E","for.Dec.Sup.E","ant.Oct.Sup.R","ant.Nov.Sup.R","ant.Dec.Sup.R","for.Jan.Sup.R","for.Feb.Sup.R","for.Mar.Sup.R","for.Apr.Sup.R","for.May.Sup.R","for.Jun.Sup.R","for.Jul.Sup.R","for.Aug.Sup.R","for.Sep.Sup.R","for.Oct.Sup.R","for.Nov.Sup.R","for.Dec.Sup.R","ant.Oct.StC.P","ant.Nov.StC.P","ant.Dec.StC.P","for.Jan.StC.P","for.Feb.StC.P","for.Mar.StC.P","for.Apr.StC.P","for.May.StC.P","for.Jun.StC.P","for.Jul.StC.P","for.Aug.StC.P","for.Sep.StC.P","for.Oct.StC.P","for.Nov.StC.P","for.Dec.StC.P","ant.Oct.StC.E","ant.Nov.StC.E","ant.Dec.StC.E","for.Jan.StC.E","for.Feb.StC.E","for.Mar.StC.E","for.Apr.StC.E","for.May.StC.E","for.Jun.StC.E","for.Jul.StC.E","for.Aug.StC.E","for.Sep.StC.E","for.Oct.StC.E","for.Nov.StC.E","for.Dec.StC.E","ant.Oct.StC.R","ant.Nov.StC.R","ant.Dec.StC.R","for.Jan.StC.R","for.Feb.StC.R","for.Mar.StC.R","for.Apr.StC.R","for.May.StC.R","for.Jun.StC.R","for.Jul.StC.R","for.Aug.StC.R","for.Sep.StC.R","for.Oct.StC.R","for.Nov.StC.R","for.Dec.StC.R"
"52",141.57,58.31,64.45,63.71,56.38,72.71,97.37,107.24,50.34,59.82,39.28,78.11,48.53,71.37,60.66,205.074696,124.280766,109.95159,30.211158,33.917254,21.064165,8.528328,26.015942,31.373406,95.788896,134.80663,150.467405,226.372367,166.327982,78.586996,52.5,11.6,80.97,66.77,104.84,109.01,140.75,98.73,26.18,10.1,6.68,10.05,6.96,14.98,46.26,86.12,63.68,70.27,56.45,54.21,78.05,99.48,123.56,97.55,48.39,31.66,70.16,72.23,71.68,54.68,86.058,54.402,99.928,97.944,91.393,64.753,15.154,13.804,8.6026,41.469,73.364,70.734,107.11,91.073,135.96,77.7,74.1,125.4,132.5,159.6,212,302.2,273,169.2,70.5,36,38.7,61.3,90.6,121.2,134.54,67.14,60.48,33.87,67.38,77.85,86.42,95.72,87.82,65.65,73.75,59.14,75.66,44.89,39.34,68.851016,72.385522,116.791824,93.074674,60.824052,55.238957,11.68038,5.029288,-3.690994,11.2743,46.186774,74.431743,139.81877,114.368548,117.873558,84.1,71.2,73.4,53.6,56,84.5,136.7,112.4,72.6,40.2,31.2,22.8,32.1,31,33.5,99.51,78.02,47.57,26.42,46.18,62.67,63.08,56.57,86.54,72.73,74.95,100.14,104.3,35.58,31.69,80.142069,70.192392,95.835605,114.505981,83.592621,84.469288,11.37073,5.957523,-4.072042,-4.231623,11.558409,27.74635,91.079188,96.74414,126.309514,25.17,31.84,42.11,20.69,18.64,16.33,99.44,85.34,53.82,37.43,27.1,24.41,51.71,25.48,16.04,158.44,78.81,40.34,48.45,52.49,47.91,92.25,86.65,61.14,83.89,20.49,46.39,37.91,61.21,34.89,78.8966,34.3294,40.1818,38.4714,41.13,39.3043,61.2081,120.7878,135.499,195.2204,175.0164,141.2903,89.3047,36.6749,32.4999,529.75,252.68,595.2,265.84,616.65,559.47,700.8,336.52,153.71,55.97,40.52,35.12,63.56,84.77,173.55
"53",48.53,71.37,60.66,37.82,50.79,55.94,57.22,133.37,72.18,119.67,80.78,130.68,68.84,80.03,70.66,226.372367,166.327982,78.586996,46.540938,27.789283,19.110408,5.833793,14.123465,32.84341,80.430815,110.053041,203.168146,185.833409,146.300747,94.322001,6.96,14.98,46.26,15.2,25.67,108.67,75.18,106.81,33.78,32.31,11.26,12.62,20.2,35.63,106.71,72.23,71.68,54.68,65.52,62.97,60.86,51.07,121.01,63.25,80.07,67.66,85.14,99.15,112.36,76.92,107.11,91.073,135.96,119.19,53.36,26.517,10.986,-1.1787,-1.518,16.783,52.816,74.175,85.334,72.558,97.812,61.3,90.6,121.2,86.3,63,281.2,267.3,205.6,125.4,57.9,58.4,38.6,106.9,198.7,261.6,75.66,44.89,39.34,38.48,36.47,58.53,64.5,100.9,65.31,83.48,61.41,91.25,65.34,130.41,55.89,139.81877,114.368548,117.873558,106.07068,52.436967,23.171748,8.849827,-0.247371,-3.696328,3.79204,41.764394,92.734571,65.154338,80.348083,95.895285,32.1,31,33.5,26.1,21.2,62.5,103.4,93.8,57.8,39.4,25.7,25.7,43.6,89,72.2,104.3,35.58,31.69,27.83,27.36,42.37,64.49,72.89,41.45,96.86,68.99,96.37,52.94,60.42,38.98,91.079188,96.74414,126.309514,126.995408,58.386368,27.231641,19.07718,-0.46378,-3.764357,-3.361142,8.226289,37.545514,53.698027,88.628023,109.565463,51.71,25.48,16.04,12.66,9.12,19.66,65.27,89.3,35.43,28.26,21.88,24.05,26.65,28.61,15.53,37.91,61.21,34.89,25.93,44.12,48.1,75.05,113.79,65.79,49.7,58.49,97.42,62.34,98.84,60.32,89.3047,36.6749,32.4999,47.1401,36.18,35.7593,48.5234,71.1432,127.9535,181.0573,168.6562,137.9798,74.9087,40.3799,30.7357,63.56,84.77,173.55,68.43,136.22,620.14,545.68,527.46,144.04,69.66,43.84,62.05,132.12,431.37,605.71
"54",68.84,80.03,70.66,65.18,20.29,83.3,48.77,164.25,87.66,103.85,79.28,53.22,60.2,81.45,87.84,185.833409,146.300747,94.322001,48.072326,23.631558,16.193967,9.097724,19.980495,40.827469,78.255977,106.500908,131.89703,181.1048,140.151855,101.122803,20.2,35.63,106.71,56.02,49.97,149.15,67.9,108.17,77.04,19.34,16.26,20.71,8.26,29.26,76.86,99.15,112.36,76.92,65.64,33.94,58.33,86.22,123.47,57.75,133.75,77.49,77.57,52.17,71.23,100.66,85.334,72.558,97.812,121.72,36.965,27.826,12.013,0.33113,10.558,23.377,57.183,66.941,92.469,75.186,128.47,106.9,198.7,261.6,161.4,73.2,289.8,270.9,219.1,117.4,84.3,66.9,144.3,57.5,97.5,225.4,65.34,130.41,55.89,61.68,39.48,90.52,48.54,169.88,77.88,77.49,64.59,26.73,97.23,73.08,85.26,65.154338,80.348083,95.895285,97.391175,37.909566,31.373035,5.679058,-3.223001,-1.346232,10.740148,44.794687,43.92836,92.092662,106.05831,126.070417,43.6,89,72.2,53.1,35.1,118.8,113.7,135,85.9,54.7,33,25.8,27.6,40.5,56.8,52.94,60.42,38.98,48.44,32.94,57.35,59.63,91.06,57.1,68.48,98.69,75.48,119.54,32.28,70.02,53.698027,88.628023,109.565463,109.405305,43.486405,26.090516,3.767185,-1.135657,-4.389628,-4.140537,7.502748,19.606806,38.566992,99.545903,122.722205,26.65,28.61,15.53,17.23,11.11,23.77,91.08,89.4,60.39,34.86,30.39,31.16,39.85,32.17,20.92,62.34,98.84,60.32,60.63,22.05,86.19,33.36,177.45,83.89,88.84,62.34,17.24,66.91,70.3,73.87,74.9087,40.3799,30.7357,50.0541,35.8474,35.1281,48.2345,97.6283,148.8898,166.7047,151.0574,140.326,79.0272,47.6638,42.8895,132.12,431.37,605.71,321.09,221.41,1192.17,420.29,933.57,247.97,63.67,76.63,35.84,56.21,96.34,327.55
"55",60.2,81.45,87.84,124.86,62.25,34.88,93.81,36.28,44.92,103.94,82.78,97.85,42.49,92.81,56.25,181.1048,140.151855,101.122803,36.627547,20.486064,19.38993,2.364454,23.708067,45.610547,106.733966,144.655859,157.106902,201.097619,170.119647,98.18209,8.26,29.26,76.86,222.1,121.85,87.63,140.61,33.15,8.37,9.76,6.31,18.27,10.26,34.63,58.12,52.17,71.23,100.66,78.19,59.46,31.66,108.62,21.73,58.59,81.99,92.87,99.17,102.62,114.07,59.44,92.469,75.186,128.47,98.485,38.211,42.335,6.9217,3.4502,4.2943,41.764,66.026,81.332,84.668,105.08,118.25,57.5,97.5,225.4,225.1,168.1,149.3,336.2,136.2,55.9,44,36.8,80.6,147.6,189,191.9,97.23,73.08,85.26,77.5,51.55,39.86,41.33,40.96,58.12,71.98,68.15,89.9,38.09,114.64,56.34,92.092662,106.05831,126.070417,82.356872,34.185071,37.571544,10.683851,3.986081,-0.160356,28.488945,48.48557,71.006566,87.163625,119.423467,124.672598,27.6,40.5,56.8,77.2,59,56.6,115.5,64.6,34.3,22.4,23.1,22.6,26.2,45,51.1,119.54,32.28,70.02,52.06,39.25,27.23,27.95,79.73,86.42,39.64,47.9,83.4,115.01,97.3,47.65,38.566992,99.545903,122.722205,111.67614,40.031297,46.652502,17.591676,3.866798,-4.623526,-3.53711,9.162467,52.526073,68.35772,108.121755,130.600697,39.85,32.17,20.92,15.75,18.54,14.49,94.77,66.59,52.18,27.24,18.59,15.1,48.27,38.96,31.63,66.91,70.3,73.87,80.91,75.21,24.9,64.15,43.9,54.77,89.61,59.2,85.74,16.72,95.4,56.24,79.0272,47.6638,42.8895,43.4047,33.7162,37.8104,48.72,78.9971,138.3256,197.9396,165.5031,148.4768,84.3458,49.412,37.0564,56.21,96.34,327.55,920.12,750.79,484.57,690.34,274.22,96.9,77.74,55.91,64.75,73.95,268.93,389.25
"56",42.49,92.81,56.25,77.21,59.92,56.25,57.9,106.58,84.78,133.67,72.32,102.41,136.47,59.08,94.71,201.097619,170.119647,98.18209,31.782068,34.407187,23.566665,10.620594,41.004886,44.162503,72.197502,126.256822,185.998745,188.974257,100.637892,103.292621,10.26,34.63,58.12,127.95,99.24,87.95,53.45,78.08,34.19,40.98,12,10.86,94.81,74.92,149.32,102.62,114.07,59.44,88.65,66.33,45.63,60.68,62.7,94.84,121.43,44.61,121.35,151.83,73.64,86.65,84.668,105.08,118.25,61.955,74.792,48.774,10.096,7.6965,15.954,33.958,83.531,73.691,92.735,56.494,95.112,147.6,189,191.9,268.3,216.5,209.1,176.3,116.3,91.2,109.4,52,71.2,203.6,244.8,255.2,38.09,114.64,56.34,80.36,63.15,55.76,56.18,103.15,51.39,88.28,64.15,93.75,114.2,66.72,81.2,87.163625,119.423467,124.672598,57.541068,65.158787,48.308454,12.019321,4.166972,1.347228,12.097488,68.672038,84.414514,92.251613,59.73782,93.128566,26.2,45,51.1,70.2,60.9,99,115.3,88.2,43.8,35,26.7,25.7,57.4,59.7,94.4,115.01,97.3,47.65,43.75,38.85,45.73,29.1,85.74,30.27,78.77,34.85,71.02,55.9,33.82,51.34,68.35772,108.121755,130.600697,86.849937,84.237763,54.793246,17.195362,1.83965,-3.628203,-3.032202,42.784657,85.377227,108.875625,85.079757,111.052382,48.27,38.96,31.63,17.57,14.22,19.88,100.43,81.21,33.45,22.78,14.9,11.43,17.12,16.12,16.45,16.72,95.4,56.24,78.62,63.46,69.62,59.85,83.81,65.14,111.09,74.79,93.57,133.02,64.17,72.44,84.3458,49.412,37.0564,38.6654,48.1824,39.5019,48.7383,103.0087,153.9809,171.3089,184.3186,125.6298,80.8844,30.6277,36.1392,73.95,268.93,389.25,768.81,743.37,763.84,463.01,349.62,70.46,89.09,62.4,69.92,470.15,412.03,814.99
"57",136.47,59.08,94.71,121.54,38.59,71.02,75.44,37.64,43.63,58.36,161.16,53.1,60.15,81.57,105.22,188.974257,100.637892,103.292621,44.20478,36.120606,22.888035,10.754447,27.0884,51.683253,109.899123,131.750786,166.830227,209.775274,197.065274,106.016314,94.81,74.92,149.32,194.93,29.08,181.13,83.13,30.83,10.9,7.14,54.35,7.31,5.84,41.7,149.13,151.83,73.64,86.65,84.64,47.62,63.93,83.48,35.78,41.81,78.54,31.37,50.08,80.52,83.48,105.5,92.735,56.494,95.112,103.98,95.47,43.59,15.685,1.7303,13.241,39.001,72.975,73.186,69.539,118.56,121.88,203.6,244.8,255.2,244,84.7,282.7,276.9,130.9,54,41.6,30.9,30.4,54.4,100.5,181.3,114.2,66.72,81.2,55.27,36.55,67.4,71.09,52.31,62.47,59,84.81,60.95,93.22,49.8,75.77,92.251613,59.73782,93.128566,94.17153,72.97788,34.340539,15.336456,1.350823,2.069376,17.281676,43.017976,60.380055,65.527016,139.674029,120.497769,57.4,59.7,94.4,74.8,37.6,99.2,102.2,66.5,37.5,29.6,29.7,26.4,31.7,34.3,42,55.9,33.82,51.34,36.44,30.5,50.11,55.88,57.49,73.53,67.55,45.07,156.51,146.74,49.42,62.35,108.875625,85.079757,111.052382,124.07109,99.48911,52.830364,24.261351,5.232605,-4.236854,-2.845239,21.72926,57.815515,31.579856,115.083291,127.214269,17.12,16.12,16.45,15.32,9.11,29.01,57.62,42.31,39.69,27.3,17.82,28.62,76.66,38.1,20.75,133.02,64.17,72.44,78.96,19.86,64.34,56.36,71.14,39.28,33.67,113.27,35.24,47.08,44.63,85.24,80.8844,30.6277,36.1392,46.499,47.3338,37.4639,50.612,96.947,166.837,168.7659,169.0425,133.8795,90.5625,49.037,35.282,470.15,412.03,814.99,738.74,91.95,913.61,358.75,326.07,86.6,47.52,102.25,43.03,52.99,136.87,463.21
"58",60.15,81.57,105.22,74.04,126.2,111.04,52.06,80.15,118.84,92.31,48.4,99,64.38,82.83,118.82,209.775274,197.065274,106.016314,44.506653,21.203271,16.116326,5.177117,34.838621,37.720529,82.475968,136.615301,156.268723,220.188601,145.908414,93.063365,5.84,41.7,149.13,117,192.85,214.68,119.45,43.76,33.87,38.91,6.65,12.9,9.31,35.77,145.52,80.52,83.48,105.5,60.57,112.06,100.09,63.44,58.02,99.78,113.92,93.16,58.5,96.96,76.86,116.67,69.539,118.56,121.88,85.314,59.812,50.325,8.6233,4.403,6.7886,33.203,66.713,71.659,101.2,86.579,133.83,54.4,100.5,181.3,236.6,225.3,256.9,364.7,147,84.3,76.3,67.2,42.4,88,142.9,249.6,93.22,49.8,75.77,97.52,77.54,49.44,86.94,74.38,121.53,83.19,44.2,109.59,54.78,73.96,130.2,65.527016,139.674029,120.497769,69.901784,43.969277,36.278785,1.310252,-0.634921,-6.057925,3.882502,49.300983,65.21423,103.501674,109.334332,105.16869,31.7,34.3,42,93,72.6,70.8,175.5,101.8,79.8,50.3,30.7,47.6,31.1,42.7,74.6,146.74,49.42,62.35,48.92,29.26,30.05,81.02,77.73,119.51,93.08,38.85,83.06,46.17,58.84,70.96,31.579856,115.083291,127.214269,107.490888,75.676851,42.546255,6.619418,3.817221,-3.972049,-4.309383,19.396203,49.753861,87.338356,102.304411,152.561143,76.66,38.1,20.75,26.04,19.12,15.81,101.05,96.17,77.36,60.37,27.72,23.97,22.87,27.05,15.97,47.08,44.63,85.24,82.26,97.79,70,36.46,67.95,115.53,94.95,61.06,134.79,39.69,98.67,103.46,90.5625,49.037,35.282,46.8396,39.7844,37.9816,48.0045,88.6393,135.5238,174.0213,166.8757,132.2047,89.6039,42.0011,41.6941,52.99,136.87,463.21,710.04,757.46,807.14,843.56,243.3,164.73,95.42,65.92,272.48,57.96,536.62,1076.68
"59",64.38,82.83,118.82,59.91,70.42,100.47,97.23,67.84,90.07,71.26,88.75,51.35,99.76,28.23,75.34,220.188601,145.908414,93.063365,41.22572,11.824064,21.366934,9.369616,23.377615,35.776998,81.398439,111.874611,149.180548,188.304994,117.848816,104.946242,9.31,35.77,145.52,39.38,180.64,180.99,113.39,52.24,35.89,13.7,14.94,9.22,21.53,14.45,68.72,96.96,76.86,116.67,60.46,53.77,62.05,95.38,91.89,69.26,99.27,94.17,48.66,88.78,36.12,83.38,101.2,86.579,133.83,93.498,42.916,36.144,12.005,2.1708,3.0778,34.254,60.717,82.812,81.095,50.165,129.52,88,142.9,249.6,155.4,197.1,262,262.4,172.8,106.5,80,59.8,35.1,94.3,91.1,163,54.78,73.96,130.2,42.13,71.33,63.01,92.19,80,81.62,58.1,96.96,48.52,135.83,34.63,71.1,103.501674,109.334332,105.16869,64.13188,19.696402,14.297285,7.729898,-0.090337,-3.42231,12.338924,34.324978,51.417417,74.63068,70.951434,142.406814,31.1,42.7,74.6,66.9,74.3,113.1,136.5,115.1,68.9,40.6,35.2,26.3,51.9,57.8,49.1,46.17,58.84,70.96,36.88,37.45,42.84,64.96,56.19,59.08,61.86,106.57,39.66,90.74,37.83,60.45,87.338356,102.304411,152.561143,102.19477,38.520414,38.789581,12.337675,2.82212,-4.012125,-3.174848,0.708099,23.059567,78.921719,66.704326,127.957596,22.87,27.05,15.97,18.87,18.97,29.67,70.49,84.62,47.82,30.06,34.76,24.3,27.05,30.41,19.48,39.69,98.67,103.46,48.45,75.94,87.66,124.49,69.78,99.47,56.44,101.64,35.5,70.46,14.44,60.71,89.6039,42.0011,41.6941,42.03,36.8295,35.8291,49.6362,82.3805,135.6062,161.5322,169.9046,131.127,73.6726,40.8737,47.0936,57.96,536.62,1076.68,290.02,1031.71,1068.72,822.82,488.06,195.36,49.85,69.26,36.09,94.55,46.62,257.06
"60",99.76,28.23,75.34,44.37,48.54,52.01,64.41,115.59,123.77,86.27,45.38,64.32,66.2,88.65,44.11,188.304994,117.848816,104.946242,40.813351,39.184828,16.181375,8.600407,26.961846,45.145081,86.053183,133.374407,189.813027,179.058431,162.900247,109.750563,21.53,14.45,68.72,51.49,16.77,124.16,63.64,88.21,52.09,18.84,6.55,6.51,14.93,18.21,45.35,88.78,36.12,83.38,57.5,44.82,47.53,31.91,60.91,151.44,91.12,72.88,85.5,101.03,72.29,60.23,81.095,50.165,129.52,93.727,45.866,27.503,8.6453,8.5188,23.621,46.774,66.908,84.742,84.526,85.756,136.12,94.3,91.1,163,152.7,98.6,230.3,131.5,110.9,107.2,74.5,57.8,51.1,173.1,127.2,205.4,135.83,34.63,71.1,30.21,27.87,18.12,48.08,75.61,146.92,94.21,60.74,131.2,50,56.74,46.69,74.63068,70.951434,142.406814,81.012115,35.421962,29.566291,12.087409,2.201073,0.5505,10.623462,39.17484,85.407416,98.694873,107.421449,125.754386,51.9,57.8,49.1,42.8,33.9,70.5,56.3,56.3,48.4,44.1,30.9,37.8,36.3,40.1,48.2,90.74,37.83,60.45,30.53,19.05,11.96,18.92,36.89,103.44,67.37,76.03,139.74,47.42,66,39.12,78.921719,66.704326,127.957596,117.296055,73.271393,43.198365,20.521719,5.58441,-3.77824,-1.514291,24.403627,81.168377,90.486015,111.986714,144.396825,27.05,30.41,19.48,13.83,12.04,42.11,24.71,30.19,30.08,15.25,19.68,29.57,26.61,26.37,20.57,70.46,14.44,60.71,52.18,40.54,34.79,58.46,115.76,101.81,102.39,23.4,86.77,61.52,68.42,31.18,73.6726,40.8737,47.0936,45.1489,36.4847,35.6157,47.3708,108.6044,163.4263,187.3291,169.8198,139.0746,84.9907,41.0342,45.7469,94.55,46.62,257.06,180.33,60.91,548.57,373.99,495.46,262.39,92.96,48.78,44.35,83.17,138.64,232.15
"61",66.2,88.65,44.11,48.55,99.86,98.65,151.7,170.03,58.94,75.19,110.54,144.16,113.19,128.22,95.07,179.058431,162.900247,109.750563,48.0298,32.044571,17.799043,3.849679,9.115118,36.989871,77.789405,141.77727,138.149706,183.040772,144.579903,101.543836,14.93,18.21,45.35,27.24,83.58,247.51,184.42,185.54,46.17,14.51,10.99,32.39,87.5,112.93,209.61,101.03,72.29,60.23,48.6,71.24,97.87,141.25,125.05,65.54,48.98,108.94,94.86,100.09,68.71,70.73,84.526,85.756,136.12,98.308,57.655,46.784,9.2187,-1.7774,10.661,36.246,74.54,66.664,84.641,64.872,90.268,173.1,127.2,205.4,105,105,378.8,341.6,330.6,118.4,54.2,53.9,59.2,122.7,105.2,188.9,50,56.74,46.69,50.39,41.28,61.99,138.72,93.64,94.41,61.99,65.71,95.72,91.59,83.11,51.05,98.694873,107.421449,125.754386,77.626865,42.688067,25.821564,-1.330668,-5.038693,-4.354145,2.153876,49.004318,70.693209,51.85622,92.694054,101.115179,36.3,40.1,48.2,46.6,39.7,83.4,130.7,125.2,70.4,44.1,30.8,24.7,47.4,53.6,68.9,47.42,66,39.12,47.88,26.15,29.26,81.7,74.64,90.73,72.78,61.41,79.18,53.21,43.2,37.06,90.486015,111.986714,144.396825,113.870144,77.337361,57.533298,13.216141,-1.033429,-4.262106,-5.603605,22.134055,60.491847,64.420708,77.288733,130.011857,26.61,26.37,20.57,19,13.16,16.83,74.38,84.12,53.2,41.74,19.74,13.96,19.46,18.38,13.79,61.52,68.42,31.18,40.22,69.92,102.84,115.37,152.89,72.65,68.44,81.72,119.76,93.36,114.97,63.24,84.9907,41.0342,45.7469,41.1786,36.4794,35.8099,47.1224,67.2119,153.0981,180.6179,177.2973,124.6056,82.0596,43.5765,32.7172,83.17,138.64,232.15,323.75,410.86,1511.57,919.42,837.33,309.59,128.18,68.32,74.58,345.8,477.72,1093.69
"62",113.19,128.22,95.07,79.89,44.79,68.35,30.83,48.37,46.43,60.78,77.94,97.93,134.19,20.81,77.01,183.040772,144.579903,101.543836,31.057422,22.74155,21.89461,16.861607,30.194364,57.279182,113.672533,132.469994,175.283739,185.638853,134.756122,95.696646,87.5,112.93,209.61,154.11,75.83,103.91,24.04,25.45,8.89,6.32,6.98,7.66,22.06,29.5,37.52,100.09,68.71,70.73,86.32,35.85,41.91,51.95,52.33,77.55,50.88,45.06,101.5,105.9,18.21,104.09,84.641,64.872,90.268,87.661,60.576,42.412,33.132,7.6611,30.624,56.637,78.677,94.547,70.751,89.938,85.888,122.7,105.2,188.9,207.7,156.9,186,124.1,128.8,60.4,30.5,31.3,44.5,68.8,77.1,135.1,91.59,83.11,51.05,59.55,34.63,63.6,40.79,57.89,69.62,63.03,62.8,67.64,120.41,29.82,61.53,51.85622,92.694054,101.115179,76.471892,47.265818,23.932897,23.865965,6.28287,1.356215,29.91658,83.362752,110.99821,106.690013,87.326849,82.895678,47.4,53.6,68.9,58.2,47.1,98.1,56.7,54.7,34.7,23.3,22,18.9,37.9,41.3,42.2,53.21,43.2,37.06,49.07,28.51,53.55,48.8,98.1,96.77,66.41,48.94,48.64,94.66,49.01,36.02,64.420708,77.288733,130.011857,109.950733,59.959489,26.823221,19.882177,5.049413,-4.146433,-1.674824,44.53568,98.241428,73.125414,107.263739,94.277636,19.46,18.38,13.79,11.62,10.45,57.25,50.96,60.02,73.09,27.05,18.1,11.88,21.16,23.22,21.27,93.36,114.97,63.24,58.11,29.77,47.42,33.19,62.42,61.5,92.71,76.66,65.5,100.03,11.18,57.18,82.0596,43.5765,32.7172,42.56,37.2323,37.6343,85.5932,131.8845,150.9884,192.9348,160.6395,135.7365,77.5759,34.0248,26.7516,345.8,477.72,1093.69,587.95,333.27,424.32,146.73,171.84,111.89,71.44,103.56,35.49,81.04,130.42,201.27
