"","for.Jan.Eri.NBS","for.Feb.Eri.NBS","for.Mar.Eri.NBS","for.Apr.Eri.NBS","for.May.Eri.NBS","for.Jun.Eri.NBS","for.Jul.Eri.NBS","for.Aug.Eri.NBS","for.Sep.Eri.NBS","for.Oct.Eri.NBS","for.Nov.Eri.NBS","for.Dec.Eri.NBS"
"17",83.7051762425724,110.98294832574,227.057435661503,350.155959252869,158.072786357356,75.2843501913004,47.7712027547615,-18.2938875925573,-76.5349683055948,-64.8915034352794,-6.03167516521965,14.7455932670768
"18",95.2562024459313,175.622944587632,207.365385177896,299.605893370637,61.346267359334,11.3622870500843,18.6808196764021,-45.3118068060457,-61.6893309411514,-140.26423970166,-37.8713213065012,55.5040988297328
"19",110.534989021888,82.5396711335967,282.62075103579,243.868929849646,276.730901536861,230.912122546552,169.006716267722,71.0394553713284,109.95289515481,-38.3964504390746,-55.619635933717,39.0928171919317
"20",17.7251958498286,83.523510707536,130.602619107469,138.892274754435,313.910223601911,180.456703458574,50.1799444595882,24.2371469149907,-25.4952129848929,-104.975122446514,-36.5694416080985,0.423321981200605
"21",14.8403535460253,19.7539374808181,108.08679822224,138.112478319481,23.902946528463,-14.4096077561385,-19.1701198390118,-20.0799686491534,-78.4339896630981,-117.325775215278,-128.615160252781,-35.8606107250965
"22",51.1415678637525,74.9977898351962,82.3362652419543,80.4601254824333,145.566491304291,58.1111459291458,-23.514095014792,-14.1186391689369,-155.562413625306,-60.5506856266655,-70.3407352223246,91.0661551087792
"23",267.63161271739,245.276810081374,247.80101412054,258.618222922401,198.049228376386,129.903565148313,106.839767822468,-67.5247359768278,19.9573175445381,-100.310277422818,-53.4742600661737,70.960792477818
"24",99.5715452596013,99.9325969872114,105.10981987855,294.414700548067,89.070947721403,77.5771225172183,7.6273293745798,-34.9939241434172,-35.0244880590444,-19.1912243749801,22.2104100390901,46.6225138821092
"25",230.116874454046,396.665846645495,80.5955403992741,156.905395871848,160.060615949061,108.230025946031,21.6732717023642,-64.3731170528308,28.8547957231511,-35.607796927716,-63.5581961865647,153.852345106855
"26",174.741919922779,202.765040654661,193.093272895623,191.926872288319,55.7888326811722,74.3570359134742,19.0668151068118,-56.5726958983538,-81.8114171439014,-86.9903124741916,-37.1292370944332,0.923578734913121
"27",51.2946912679234,303.978064351685,208.087088745842,254.567298613537,90.8194882847973,46.6088144377091,3.3862714606784,-57.5288676974019,-136.929283942119,-34.7903993483923,60.0411990180755,-19.4817429242591
"28",242.209156690219,112.7246831594,165.975238475734,148.939133849805,69.9312399487593,76.2142835086766,7.80488820748372,-34.3574981175182,-87.0935367174314,-150.907752991181,-82.0904158053234,5.45241912503472
"29",21.8192042376904,195.701034110673,85.0849680633123,113.144640989196,78.2375384011715,34.911889735636,25.2613791413964,-40.7460418270127,0.185126146410592,-53.917640174296,-19.4452366098412,17.0738298477998
"30",88.2891898935977,191.619622496736,224.984253429901,176.565821260028,86.6658876740428,48.9720681376298,-22.4021814313517,-10.9167357487392,-87.2347332980775,-106.686544892499,-16.8595781586557,109.952751504927
"31",25.0649364331676,132.27358546621,202.295791057761,282.286729613113,139.036326361256,63.8924665130098,135.695493063086,-19.5919165206773,4.68833747537701,-45.6341324344728,-50.0039049458814,144.306609510524
"32",145.358317636286,28.809196203796,153.608196420374,247.208843868293,29.3710279889816,71.1428521247566,-4.93156641929016,-46.9858217664801,-104.233120671746,-53.4428184803344,-17.7016934968434,-1.0424281854174
"33",144.874011069541,303.943703608646,120.498253839522,182.22035248078,291.776744779736,155.380566976748,38.2525153533026,-37.6833109765468,-10.7830086697111,-86.24289081868,-58.2996665582324,-11.3540108187999
"34",87.2141261146605,263.058584815334,153.793174886048,289.574308708019,74.8894578549713,92.2747919281229,49.4684740178396,-0.455699445592364,-38.5990304068402,-89.9652139076515,-74.2496269173346,79.691512836078
"35",64.6466567289714,147.876621634837,153.440607351283,186.537921593301,346.283236351161,510.828158064436,18.4424417013534,-0.0728768323204498,136.170096727623,63.8600121357071,-40.6659811578693,37.2963208644524
"36",95.7298790029102,38.6718655151576,152.476347986815,94.9937218017026,108.405859420169,199.343155377618,66.0513621925716,25.7348869590049,18.5233419425163,-54.7878820854032,-18.8495060320642,197.233240857532
"37",71.3490576642728,69.818979776742,297.861834243269,310.745167039212,106.955974088793,17.2651779298078,-14.3591159407592,-54.4296931820088,-33.168098164436,1.57119233926835,-74.0045698897052,70.0028580162244
"38",-19.9289936372445,-1.44186954778218,55.6884397913972,136.240847320359,52.7701060890043,25.9800834716392,-18.628112292011,-113.962723117059,-76.6704475353729,-147.296162736724,-90.205303531988,-47.902023995813
"39",60.3535411138816,92.2461141201782,211.983303112653,201.32453565614,102.930053058851,135.177041405498,35.6373683732441,37.092286592925,-17.7813748134546,1.00145475135852,-68.1016190951409,74.0496402821808
