"","for.Jan.StC.NBS","for.Feb.StC.NBS","for.Mar.StC.NBS","for.Apr.StC.NBS","for.May.StC.NBS","for.Jun.StC.NBS","for.Jul.StC.NBS","for.Aug.StC.NBS","for.Sep.StC.NBS","for.Oct.StC.NBS","for.Nov.StC.NBS","for.Dec.StC.NBS"
"14",183.819211946689,467.463194855591,1627.2003418753,1140.93703509333,446.586791251542,78.3632300750101,-29.9725944380624,-36.6834278637246,-9.01269574039214,128.611483127546,382.737944562014,1357.41768391776
"15",371.144854306304,162.816252022172,1212.25624881391,338.768515110001,802.910958913205,203.024190281269,-54.042888877046,25.8910281924113,-82.3012799477983,-37.7307534590465,123.58905271384,79.6777352692785
"16",289.520718870998,749.820472125256,619.755580411187,874.779268482142,408.517003415697,153.289371733384,-56.5169477087952,-83.3404180701387,86.8483005873223,21.0082377695335,101.678216915096,124.807665102541
"17",99.3569957296365,235.718425098443,460.435853037899,1816.44169021709,634.173943874323,-43.9755705125646,-94.612940503607,-82.8258937783553,-78.7559076268197,16.8752801352892,153.272565099906,76.8058748440951
"18",345.84318620874,293.474626313329,1187.52393879922,515.140709800578,75.2178086209486,-17.9846467496832,-87.8321140177051,-5.23591772051236,14.0282014710622,75.4399730139881,196.486937578029,840.74063954392
"19",221.66915798021,281.431592883956,769.49380151301,1092.68704676318,336.511097197549,76.6942256502045,-31.199307676044,47.4662322247797,-14.9345419103719,23.7518227724617,36.2751486348421,138.943592475994
"20",105.838755585496,990.14084958588,457.058055436434,990.920420996313,788.975391308476,102.57094090826,-59.6541680187397,-32.5312622470431,-9.25858944851395,38.090427754443,46.6002305194207,130.36944299989
"21",74.4545032113321,133.149226474061,404.143718562524,676.046165625525,154.977559007356,80.1877486093314,-105.104008768856,-41.0644922736665,50.4482105430217,128.562547058007,15.1724166126277,98.6924091558092
"22",168.77991688903,500.021845382389,411.08085456836,353.806105311463,55.0618802810115,91.7040513276568,-78.6848249080457,-8.69986165613031,-32.7206614508669,91.9733730533319,74.3412431802677,921.247699328347
"23",187.104527035293,292.072663215026,715.605143061018,292.316194040562,101.921420207159,18.8796040514971,-20.6479312286427,-85.7575091229848,-12.8372826584186,83.2028412201191,102.168927852175,240.027589168009
"24",247.989928519647,330.19068304478,624.376760516874,1054.90244253363,236.485508578917,-6.14507534386657,-115.213217669888,23.3088731287261,-12.5934242102993,398.297302589917,183.201332593445,221.329727729831
"25",663.20839588447,653.906122177675,543.617204089968,395.653328676668,571.083970195878,211.308207326132,19.145414552836,-13.0659750522016,395.821384017883,263.923146491157,308.760789947482,300.825569866863
